School Id,Team
xzY_6J9EGO6X_LWXOcXis,Bethesda-Chevy Chase High School
oaXnJhMeoaDUQEiV860hp,Montgomery Blair High School
IV3l2ju4b9EmMcQJLeN8B,James Hubert Blake High School
6wxp0InKebkEtXKSAw8Ge,Winston Churchill High School
5jegr8jl5C-tRBnXl_Ctd,Clarksburg High School
C5BxtiJ2Z4BRjeHllYBQS,Damascus High School
eiybw7ND5FImAJdHj-rza,Albert Einstein High School
kJdTe6T05rKsUeunHQrjl,Gaithersburg High School
DMHRSZNfPVXV2vOUiig1r,Walter Johnson High School
G3dj8z6dIZYW6M9-iYPPk,John F. Kennedy High School
ovZjsEa4ncjhYPvPwAx43,Col. Zadok A. Magruder High School
GX-PKN4nKBn3oCm7cMI3n,Richard Montgomery High School
HCm4bFyh8vITiZpz-Hm2D,Northwest High School
KvV0WjALfjE9v-cLl4Lvo,Northwood High School
s0ukKRmG9gzSJ7ebFLVkW,Paint Branch High School
Odb7cRw2O3M4x2KoQFL-V,Poolesville High School
UtpA-FBeSHz9q5tVLQOM-,Quince Orchard High School
aQVsBWAw2yv_ISeCnNf81,Rockville High School
Imf145rpkB0zr9KP1Hdf4,Seneca Valley High School
sd7xKSsZeD3qwUGlFWjVy,Sherwood High School
dry9DmJAR5C2p9xJGnT4t,Springbrook High School
aAM72iZDL5ZNJPkjfDxBd,Watkins Mill High School
mYmnpfdiX98GwNtFeBBdY,Wheaton High School
5t3XUqll2LsCxbMaFsTq-,Walt Whitman High School
mE2C7u4uGCXGt1Fuc3hEA,Thomas S. Wootton High School
